,file,cv_split#,class,Feature,model,CM,Acc,f1-macro,auc,time-s
40,kaggle_noNN,4,JP,LIWC,cnb,"[[572 472]
 [277 406]]",0.566299942,0.56225556,0.593806623,0.015956879
41,kaggle_noNN,4,JP,LIWC,rf,"[[969  75]
 [606  77]]",0.60567458,0.462204114,0.5894948760000001,0.904838562
42,kaggle_noNN,4,JP,LIWC,lgr,"[[562 482]
 [290 393]]",0.55298205,0.548659972,0.617427621,0.136591196
43,kaggle_noNN,4,JP,LIWC,svc,"[[564 480]
 [258 425]]",0.572669369,0.5698830460000001,0.612479875,24.0299623
44,kaggle_noNN,4,JP,LIWC,lgb,"[[674 370]
 [344 339]]",0.5865663000000001,0.570401602,0.603794674,5.18516326
45,kaggle_noNN,5,JP,LIWC,cnb,"[[592 452]
 [289 394]]",0.5709322520000001,0.5652172289999999,0.598159742,0.015955925
46,kaggle_noNN,5,JP,LIWC,rf,"[[961  83]
 [608  75]]",0.599884192,0.45695605,0.588056692,0.89115119
47,kaggle_noNN,5,JP,LIWC,lgr,"[[596 448]
 [291 392]]",0.57209033,0.566035105,0.600883246,0.118683815
48,kaggle_noNN,5,JP,LIWC,svc,"[[589 455]
 [302 381]]",0.561667632,0.555215675,0.6040891829999999,23.84038305
49,kaggle_noNN,5,JP,LIWC,lgb,"[[655 389]
 [341 342]]",0.577301679,0.562945475,0.599004,3.911565065
50,kaggle_noNN,1,JP,char_tfidf,cnb,"[[698 346]
 [248 436]]",0.65625,0.648161682,0.711750241,0.045904875
51,kaggle_noNN,1,JP,char_tfidf,rf,"[[988  56]
 [473 211]]",0.693865741,0.6162828920000001,0.772525683,2.0730051990000002
52,kaggle_noNN,1,JP,char_tfidf,lgr,"[[716 328]
 [242 442]]",0.670138889,0.661631354,0.730792498,2.172763824
53,kaggle_noNN,1,JP,char_tfidf,svc,"[[767 277]
 [233 451]]",0.7048611109999999,0.694649718,0.763150193,350.0325944
54,kaggle_noNN,1,JP,char_tfidf,lgb,"[[831 213]
 [240 444]]",0.7378472220000001,0.7240039979999999,0.804261612,56.89541221
55,kaggle_noNN,2,JP,char_tfidf,cnb,"[[675 369]
 [240 444]]",0.6475694439999999,0.641156739,0.703168762,0.037898064
56,kaggle_noNN,2,JP,char_tfidf,rf,"[[996  48]
 [455 229]]",0.708912037,0.637491841,0.77838764,2.060725451
57,kaggle_noNN,2,JP,char_tfidf,lgr,"[[702 342]
 [234 450]]",0.666666667,0.659423503,0.734021756,2.360284328
58,kaggle_noNN,2,JP,char_tfidf,svc,"[[730 314]
 [199 485]]",0.703125,0.6970347159999999,0.77127165,351.3875637
59,kaggle_noNN,2,JP,char_tfidf,lgb,"[[826 218]
 [215 469]]",0.749421296,0.7382491379999999,0.814429713,71.06642151
